,Employee_No,Late_minutes,Early_minutes,isLate,isEarly,isHoliday,isOT,holiday_hours,OT_hours,Working_Time,count,project_code,isLate%,isEarly%,isHoliday%
107,616,1224.0,7460.0,66,195,5,5,61.91666666666667,904.5333333333333,3289.0666666666666,268,197.0,0.2462686567164179,0.7276119402985075,0.018656716417910446
108,618,839.0,3343.0,50,119,0,1,0.0,298.4166666666667,1905.8,183,197.0,0.273224043715847,0.6502732240437158,0.0
109,619,518.2666666666667,507.06666666666666,23,36,1,1,9.129722222222222,121.75027777777778,656.6094444444444,62,193.0,0.3709677419354839,0.5806451612903226,0.016129032258064516
110,620,412.0833333333333,22069.85,17,419,9,9,120.1,2009.4102777777778,6491.741111111111,493,196.0,0.034482758620689655,0.8498985801217038,0.018255578093306288
111,621,882.2333333333333,717.2166666666667,67,46,1,0,9.111944444444445,76.32611111111112,1581.4175,174,196.0,0.3850574712643678,0.26436781609195403,0.005747126436781609
112,624,2941.9,3814.65,161,234,6,14,59.06805555555556,767.458611111111,4417.158888888889,435,197.0,0.3701149425287356,0.5379310344827586,0.013793103448275862
113,626,6371.066666666667,52.38333333333333,156,4,0,1,0.0,36.97333333333333,1356.1930555555555,162,198.1,0.9629629629629629,0.024691358024691357,0.0
114,627,603.1166666666667,12091.35,26,369,8,27,98.38388888888889,1904.5527777777777,5870.455833333333,469,196.0,0.05543710021321962,0.7867803837953091,0.017057569296375266
115,628,7254.616666666667,3323.4833333333336,115,61,5,20,47.11972222222222,466.6075,2498.1330555555555,265,169.0,0.4339622641509434,0.23018867924528302,0.018867924528301886
116,629,3690.0,882.0,202,54,3,0,25.533333333333335,226.48333333333332,2716.9166666666665,293,197.0,0.689419795221843,0.18430034129692832,0.010238907849829351
117,630,0.0,1007.0,0,41,0,0,0.0,28.366666666666667,395.9166666666667,41,169.0,0.0,1.0,0.0
118,634,243.73333333333335,18914.516666666666,10,538,27,64,320.8075,2414.5705555555555,7405.595833333334,614,199.1,0.016286644951140065,0.8762214983713354,0.043973941368078175
119,636,18.28333333333333,13048.516666666666,7,599,30,73,377.2341666666667,3325.031388888889,8825.506666666666,692,199.1,0.010115606936416185,0.865606936416185,0.04335260115606936
120,637,272.85,10718.4,17,251,9,9,121.98972222222223,1325.6163888888889,4175.053055555555,325,196.0,0.052307692307692305,0.7723076923076924,0.027692307692307693
121,639,0.0,11550.0,0,353,28,55,327.5,2082.5,6590.0,562,199.1,0.0,0.6281138790035588,0.0498220640569395
122,642,25.0,177.0,1,2,0,0,0.0,7.983333333333333,37.93333333333334,3,197.0,0.3333333333333333,0.6666666666666666,0.0
123,644,463.65,12964.266666666666,27,293,12,4,151.4988888888889,935.4986111111111,3991.9744444444445,338,193.0,0.07988165680473373,0.8668639053254438,0.03550295857988166
